"id","name","code","account_type","tag_ids","reconcile"
"l10n_ir_chart_111810","سایر هزینه ها","111810","asset_current","","1"
"l10n_ir_chart_111811","هزینه قبل از گشایش اعتبار","111811","asset_current","","1"
"l10n_ir_chart_111901","پیش پرداخت خرید مواد اولیه","111901","asset_current","","1"
"l10n_ir_chart_111902","پیش پرداخت خرید اموال ماشین آلات و تجهیزات","111902","asset_current","","1"
"l10n_ir_chart_111903","پیش پرداخت خرید قطعات و لوازم یدکی","111903","asset_current","","1"
"l10n_ir_chart_111904","پیش پرداخت هزینه های جاری","111904","asset_current","","1"
"l10n_ir_chart_111905","پیش پرداخت خرید خدمات","111905","asset_current","","1"
"l10n_ir_chart_111906","پیش پرداخت اعتبارات اسنادی","111906","asset_current","","1"
"l10n_ir_chart_111907","پیش پرداخت بیمه دارائیها","111907","asset_current","","1"
"l10n_ir_chart_111908","پیش پرداخت حسابرسی","111908","asset_current","","1"
"l10n_ir_chart_111909","پیش پرداخت مالیات بر ارزش افزوده","111909","asset_current","","1"
"l10n_ir_chart_111910","پیش پرداخت هزینه های تحقیق وتوسعه","111910","asset_current","","1"
"l10n_ir_chart_111911","پیش پرداخت اجاره","111911","asset_current","","1"
"l10n_ir_chart_111912","پیش پرداخت هزینه سود وکارمزدوامها","111912","asset_current","","1"
"l10n_ir_chart_111913","پیش پرداخت به پیمانکاران","111913","asset_current","","1"
"l10n_ir_chart_111914","پیش پرداخت عوارض بر ارزش افزوده","111914","asset_current","","1"
"l10n_ir_chart_111916","موجودی تمبر و سفته","111916","asset_current","","1"
"l10n_ir_chart_121001","ساختمانها","121001","asset_non_current","","0"
"l10n_ir_chart_121002","تاسیسات","121002","asset_non_current","","0"
"l10n_ir_chart_121003","ماشین آلات و تجهیزات تولید","121003","asset_non_current","","0"
"l10n_ir_chart_121004","ابزارألات و قالبها","121004","asset_non_current","","0"
"l10n_ir_chart_121005","وسائط نقلیه","121005","asset_non_current","","0"
"l10n_ir_chart_121006","اثاثیه ومنصوبات","121006","asset_non_current","","0"
"l10n_ir_chart_121007","لوازم ازمایشگاهی","121007","asset_non_current","","0"
"l10n_ir_chart_121008","اموال موجود در انبار","121008","asset_non_current","","0"
"l10n_ir_chart_121009","اموال موقت نزد انبار","121009","asset_non_current","","0"
"l10n_ir_chart_121011","کنترل دارائیها - تنخواه","121011","asset_non_current","","0"
"l10n_ir_chart_121012","کنترل دارائیها - انبار","121012","asset_non_current","","0"
"l10n_ir_chart_121101","استهلاک انباشته ساختمانها","121101","asset_non_current","","0"
"l10n_ir_chart_121102","استهلاک انباشته تاسیسات","121102","asset_non_current","","0"
"l10n_ir_chart_121103","استهلاک انباشته ماشین آلات و تجهیزات تولید","121103","asset_non_current","","0"
"l10n_ir_chart_121104","استهلاک انباشته ابزارألات و قالبها","121104","asset_non_current","","0"
"l10n_ir_chart_121105","استهلاک انباشته وسائط نقلیه","121105","asset_non_current","","0"
"l10n_ir_chart_121106","استهلاک انباشته اثاثیه و منصوبات","121106","asset_non_current","","0"
"l10n_ir_chart_121107","استهلاک انباشته لوازم ازمایشگاهی","121107","asset_non_current","","0"
"l10n_ir_chart_121109","استهلاک انباشته اموال","121109","asset_non_current","","0"
"l10n_ir_chart_121110","استهلاک انباشته نرم افزارها","121110","asset_non_current","","0"
"l10n_ir_chart_121201","زمین","121201","asset_non_current","","0"
"l10n_ir_chart_121202","املاک و مستغلات","121202","asset_non_current","","0"
"l10n_ir_chart_121301","ساختمانهای  در دست تکمیل","121301","asset_non_current","","0"
"l10n_ir_chart_121302","تاسیسات  در دست تکمیل","121302","asset_non_current","","0"
"l10n_ir_chart_121303","ماشین الات در دست تکمیل","121303","asset_non_current","","0"
"l10n_ir_chart_121304","ابزارآلات و قالبهای در دست تکمیل","121304","asset_non_current","","0"
"l10n_ir_chart_121305","ساختمان در دست تکمیل(سوله)","121305","asset_non_current","","0"
"l10n_ir_chart_121401","سرمایه گذاری در شرکتهای تابعه","121401","asset_non_current","","0"
"l10n_ir_chart_121402","سرمایه گذاری در شرکتهای وابسته","121402","asset_non_current","","0"
"l10n_ir_chart_121403","سرمایه گذاری در املاک و مستغلات","121403","asset_non_current","","0"
"l10n_ir_chart_121409","سهام سایر شرکتها","121409","asset_non_current","","0"
"l10n_ir_chart_121501","وامهای اعطایی بلند مدت","121501","asset_non_current","","0"
"l10n_ir_chart_121502","سپرده های بلند مدت نزد بانکها","121502","asset_non_current","","0"
"l10n_ir_chart_121601","هزینه های تاسیس وقبل از بهره برداری","121601","asset_non_current","","0"
"l10n_ir_chart_121603","هزینه سود وکارمزدوامهای بلند مدت","121603","asset_non_current","","0"
"l10n_ir_chart_121605","هزینه سنوات","121605","asset_non_current","","0"
"l10n_ir_chart_121606","هزینه های تحقیق وتوسعه","121606","asset_non_current","","0"
"l10n_ir_chart_121607","سایر هزینه های سنوات آتی","121607","asset_non_current","","0"
"l10n_ir_chart_122001","حق الامتیازها","122001","asset_non_current","","0"
"l10n_ir_chart_122002","سرقفلی","122002","asset_non_current","","0"
"l10n_ir_chart_122003","ودیعه آب","122003","asset_non_current","","0"
"l10n_ir_chart_122004","ودیعه برق","122004","asset_non_current","","0"
"l10n_ir_chart_122005","ودیعه تلفن","122005","asset_non_current","","0"
"l10n_ir_chart_122006","ودیعه گاز","122006","asset_non_current","","0"
"l10n_ir_chart_122007","سایر ودایع","122007","asset_non_current","","0"
"l10n_ir_chart_122008","سود سهام پرداختی","122008","asset_non_current","","0"
"l10n_ir_chart_122009","مالیات بر ارزش افزوده پرداختی","122009","asset_non_current","","0"
"l10n_ir_chart_122010","عوارض بر ارزش افزوده پرداختی","122010","asset_non_current","","0"
"l10n_ir_chart_122011","نرم افزار ها","122011","asset_non_current","","0"
"l10n_ir_chart_122012","سیستمها و روشها","122012","asset_non_current","","0"
"l10n_ir_chart_211001","اشخاص (حسابهای پرداختنی)","211001","liability_payable","","1"
"l10n_ir_chart_211002","شرکتها (حسابهای پرداختنی)","211002","liability_payable","","1"
"l10n_ir_chart_211003","کالای امانی دیگران نزد ما","211003","liability_current","","1"
"l10n_ir_chart_211004","معلق خرید","211004","liability_current","","1"
"l10n_ir_chart_211005","سایر حسابهای پرداختنی (طرح مشارکت)","211005","liability_payable","","1"
"l10n_ir_chart_211006","مالیات بر ارزش افزوده فروش","211006","liability_current","","1"
"l10n_ir_chart_211007","عوارض بر ارزش افزوده پرداختنی","211007","liability_payable","","1"
"l10n_ir_chart_211009","سایر حسابهای پرداختنی تجاری","211009","liability_payable","","1"
"l10n_ir_chart_211010","جاری شرکا","211010","liability_current","","1"
"l10n_ir_chart_211101","اسناد پرداختنی ریالی","211101","liability_payable","","1"
"l10n_ir_chart_211102","اسنادپرداختنی ارزی","211102","liability_payable","","1"
"l10n_ir_chart_211103","اسناد پرداختنی ریالی غیر تجاری","211103","liability_payable","","1"
"l10n_ir_chart_211104","اسناد پرداختنی ریالی غیرتجاری","211104","liability_payable","","1"
"l10n_ir_chart_211201","مالیات بر در آمدشرکت","211201","liability_current","","1"
"l10n_ir_chart_211202","مالیات حقوق ودستمزد کارکنان","211202","liability_current","","1"
"l10n_ir_chart_211203","مالیات تکلیفی اشخاص ثالث","211203","liability_current","","1"
"l10n_ir_chart_211204","سازمان تامین اجتماعی – حق بیمه کارکنان","211204","liability_current","","1"
"l10n_ir_chart_211205","سازمان تامین اجتماعی – حق بیمه اشخاص ثالث","211205","liability_current","","1"
"l10n_ir_chart_211206","بیمه عمر وحوادث کارکنان","211206","liability_current","","1"
"l10n_ir_chart_211207","صندوق کار آموزی","211207","liability_current","","1"
"l10n_ir_chart_211208","حقوق ودستمزد پرداختنی","211208","liability_payable","","1"
"l10n_ir_chart_211209","پیمانکاران","211209","liability_current","","1"
"l10n_ir_chart_211210","سایر کسور کارکنان","211210","liability_current","","1"
"l10n_ir_chart_211211","مالیات عیدی کارکنان","211211","liability_current","","1"
"l10n_ir_chart_211212","عیدی وپاداش پرداختنی","211212","liability_payable","","1"
"l10n_ir_chart_211213","سایر حسابهای پرداختنی کارکنان (طرح طبقه بندی)","211213","liability_payable","","1"
"l10n_ir_chart_211214","صندوق رفاه کارگران","211214","liability_current","","1"
"l10n_ir_chart_211215","هزینه های حسابرسی پرداختنی","211215","liability_payable","","1"
"l10n_ir_chart_211216","عوارض شهرداری","211216","liability_current","","1"
"l10n_ir_chart_211217","عوارض فروش 2%","211217","liability_current","","1"
"l10n_ir_chart_211218","سه در هزار فروش صنایع","211218","liability_current","","1"
"l10n_ir_chart_211219","یک در هزار تربیت بدنی","211219","liability_current","","1"
"l10n_ir_chart_211220","هزینه های پرداختنی","211220","liability_payable","","1"
"l10n_ir_chart_211221","(سایر پرداختها(موتور سیکلت هما","211221","liability_current","","1"
"l10n_ir_chart_211222","عوارض فروش2%","211222","liability_current","","1"
"l10n_ir_chart_211223","بیمه تکمیلی کارکنان","211223","liability_current","","1"
"l10n_ir_chart_211224","روند حقوق","211224","liability_current","","1"
"l10n_ir_chart_211225","بهره پرداختنی","211225","liability_payable","","1"
"l10n_ir_chart_211301","سپرده های دریافتی مزایده ومناقصه","211301","liability_current","","1"
"l10n_ir_chart_211302","سپرده های دریافتی حسن انجام کار","211302","liability_current","","1"
"l10n_ir_chart_211303","سایر سپرده های دریافتی","211303","liability_current","","1"
"l10n_ir_chart_211401","پیش دریافت فروش محصولات","211401","liability_current","","1"
"l10n_ir_chart_211409","سایر پیش دریافتها","211409","liability_current","","1"
"l10n_ir_chart_211501","ذخیره مالیات","211501","liability_current","","1"
"l10n_ir_chart_211601","سود سهام پیشنهادی","211601","liability_current","","1"
"l10n_ir_chart_211602","سود سهام پرداختنی","211602","liability_payable","","1"
"l10n_ir_chart_211701","وامهای دریافتی از بانکها - فروش اقساطی","211701","liability_current","","1"
"l10n_ir_chart_211702","وامهای دریافتی از بانکها - سلف","211702","liability_current","","1"
"l10n_ir_chart_211703","وامهای دریافتی از بانکها - مضاربه","211703","liability_current","","1"
"l10n_ir_chart_211704","تسهیلات گشایش اعتبار اسنادی داخلی","211704","liability_current","","1"
"l10n_ir_chart_211705","وامهای دریافتی از بانکها مشارکت مدنی","211705","liability_current","","1"
"l10n_ir_chart_211801","ذخیره مرخصی استفاده نشده","211801","liability_current","","1"
"l10n_ir_chart_211802","ذخیره سایر هزینه ها","211803","liability_current","","1"
"l10n_ir_chart_211805","ذخیره بن کارگری","211805","liability_current","","1"
"l10n_ir_chart_221001","اسنادپرداختنی بلند مدت ریالی","221001","liability_payable","","1"
"l10n_ir_chart_221002","اسنادپرداختنی بلند مدت ارزی","221002","liability_payable","","1"
"l10n_ir_chart_221101","حسابهای پرداختنی بلند مدت","221101","liability_payable","","1"
"l10n_ir_chart_221201","وامهای پرداختنی بلند مدت - فروش اقساطی","221201","liability_payable","","1"
"l10n_ir_chart_221202","وامهای پرداختنی بلند مدت - سلف","221202","liability_payable","","1"
"l10n_ir_chart_221203","وامهای پرداختنی بلند مدت - جعاله","221203","liability_payable","","1"
"l10n_ir_chart_221204","وامهای پرداختنی بلند مدت - مشارکت مدنی","221204","liability_payable","","1"
"l10n_ir_chart_221205","وامهای پرداختنی بلند مدت صنایع","221205","liability_payable","","1"
"l10n_ir_chart_221301","ذخیره مزایای پایان خدمت کارکنان","221301","liability_non_current","","0"
"l10n_ir_chart_221305","ذخیره سنوات","221305","liability_non_current","","0"
"l10n_ir_chart_221501","سود ناشی از تسعیر بدهیهای بلند مدت ارزی","221501","liability_non_current","","0"
"l10n_ir_chart_221502","سود ناشی از فروش بلندمدت اقلام","221502","liability_non_current","","0"
"l10n_ir_chart_311001","سرمایه ثبت شده – سهام عادی با نام","311001","equity","","0"
"l10n_ir_chart_311002","سرمایه تعهد شده – سهام عادی با نام","311002","equity","","0"
"l10n_ir_chart_311101","اندوخته قانونی","311101","equity","","0"
"l10n_ir_chart_311201","اندوخته سرمایه ای","311201","equity","","0"
"l10n_ir_chart_311202","اندوخته توسعه وتکمیل","311202","equity","","0"
"l10n_ir_chart_311203","اندوخته احتیاطی","311203","equity","","0"
"l10n_ir_chart_311205","اندوخته جایگزین دارائیها","311205","equity","","0"
"l10n_ir_chart_311206","صرف سهام","311206","equity","","0"
"l10n_ir_chart_311301","سود (زیان ) انباشته","311301","equity","","0"
"l10n_ir_chart_311302","تعدیلات سنواتی","311302","equity","","0"
"l10n_ir_chart_311401","سود (زیان ) جاری","311401","equity","","0"
"l10n_ir_chart_311601","تقسیم سود","311601","equity","","0"
"l10n_ir_chart_411001","فروش  داخلی محصولات","411001","expense","","0"
"l10n_ir_chart_411002","فروش  خارجی محصولات","411002","expense","","0"
"l10n_ir_chart_411003","فروش","411003","expense","","0"
"l10n_ir_chart_411004","فروش 3","411004","expense","","0"
"l10n_ir_chart_411005","فروش ضایعات","411005","expense","","0"
"l10n_ir_chart_411006","فروش گرانول","411006","expense","","0"
"l10n_ir_chart_411007","فروش خدمات تولیدی","411007","expense","","0"
"l10n_ir_chart_411008","درآمد فروش","411008","expense","","0"
"l10n_ir_chart_411009","فروش مواد و قطعات","411009","expense","","0"
"l10n_ir_chart_411010","درآمد کالیبره","411010","expense","","0"
"l10n_ir_chart_411011","فروش مواد اولیه","411011","expense","","0"
"l10n_ir_chart_411101","برگشت از فروش  داخلی محصولات","411101","expense","","0"
"l10n_ir_chart_411102","برگشت از فروش  خارجی محصولات","411102","expense","","0"
"l10n_ir_chart_411103","برگشت از فروش","411103","expense","","0"
"l10n_ir_chart_411104","برگشت از فروش ضایعات","411104","expense","","0"
"l10n_ir_chart_411111","تخفیفات محصولات داخلی","411111","expense","","0"
"l10n_ir_chart_411112","تخفیفات محصولات خارجی","411112","expense","","0"
"l10n_ir_chart_411113","تخفیفات محصولات","411113","expense","","0"
"l10n_ir_chart_411114","تخفیفات ضایعات","411114","expense","","0"
"l10n_ir_chart_411201","سود و زیان فروش ضایعات","411201","expense","","0"
"l10n_ir_chart_411209","سایر درآمدها و هزینه های عملیاتی","411209","expense","","0"
"l10n_ir_chart_411210","درآمدفروش پالت","411210","expense","","0"
"l10n_ir_chart_511001","قیمت تمام شده کالای فروش رفته داخلی محصولات","511001","asset_current","","0"
"l10n_ir_chart_511002","قیمت تمام شده کالای فروش رفته خارجی محصولات","511002","asset_current","","0"
"l10n_ir_chart_511003","قیمت تمام شده کالای فروش رفته ضایعات","511003","asset_current","","0"
"l10n_ir_chart_511004","قیمت تمام شده گرانول","511004","asset_current","","0"
"l10n_ir_chart_511005","قیمت تمام شده مواد و قطعات","511005","asset_current","","0"
"l10n_ir_chart_511009","قیمت تمام شده خدمات تولیدی","511009","asset_current","","0"
"l10n_ir_chart_511010","قیمت تمام شده مواد اولیه","511010","asset_current","","0"
"l10n_ir_chart_611001","حقوق پایه","611001","expense","","0"
"l10n_ir_chart_611002","اضافه کاری","611002","expense","","0"
"l10n_ir_chart_611003","حق شیفت وشبکاری","611003","expense","","0"
"l10n_ir_chart_611004","حق نوبت کاری","611004","expense","","0"
"l10n_ir_chart_611005","حق جذب","611005","expense","","0"
"l10n_ir_chart_611006","فوق العاده مسکن وخواروبار","611006","expense","","0"
"l10n_ir_chart_611007","حق اولاد","611007","expense","","0"
"l10n_ir_chart_611008","عیدی وپاداش","611008","expense","","0"
"l10n_ir_chart_611009","بن کارگری","611009","expense","","0"
"l10n_ir_chart_611010","پاداش بهره وری تولید","611010","expense","","0"
"l10n_ir_chart_611011","بیمه سهم کارفرما","611011","expense","","0"
"l10n_ir_chart_611012","سهم صندوق کارآموزی","611012","expense","","0"
"l10n_ir_chart_611013","بازخرید سنوات خدمت کارکنان","611013","expense","","0"
"l10n_ir_chart_611014","مرخصی استفاده نشده","611014","expense","","0"
"l10n_ir_chart_611015","حق سر پرستی","611015","expense","","0"
"l10n_ir_chart_611016","بیمه بیکاری","611016","expense","","0"
"l10n_ir_chart_611017","دستمزد کارکنان روزمزد","611017","expense","","0"
"l10n_ir_chart_611018","حقوق ومزایای متفرقه","611018","expense","","0"
"l10n_ir_chart_611019","بیمه تکمیلی کارفرما","611019","expense","","0"
"l10n_ir_chart_611020","حق فنی","611020","expense","","0"
"l10n_ir_chart_611021","مزد رتبه","611021","expense","","0"
"l10n_ir_chart_611022","شرایط کار","611022","expense","","0"
"l10n_ir_chart_611101","سفر ، اقامت وفوق العاده ماموریت","611101","expense","","0"
"l10n_ir_chart_611102","پوشاک ولوازم ایمنی","611102","expense","","0"
"l10n_ir_chart_611103","پذیرایی و آبدارخانه","611103","expense","","0"
"l10n_ir_chart_611104","ایاب وذهاب","611104","expense","","0"
"l10n_ir_chart_611105","بهداشت ودرمان","611105","expense","","0"
"l10n_ir_chart_611106","آموزش","611106","expense","","0"
"l10n_ir_chart_611107","حق ورزش","611107","expense","","0"
"l10n_ir_chart_611108","کمکهای غیر نقدی","611108","expense","","0"
"l10n_ir_chart_611109","رستوران","611109","expense","","0"
"l10n_ir_chart_611110","هزینه صندوق سهم کارفرما","611110","expense","","0"
"l10n_ir_chart_611119","سایر هزینه های کارکنان","611119","expense","","0"
"l10n_ir_chart_611201","تعمیر ونگهداری ساختمان وتاسیسات","611201","expense","","0"
"l10n_ir_chart_611202","تعمیر ونگهداری ماشین آلات و تجهیزات تولید","611202","expense","","0"
"l10n_ir_chart_611203","تعمیر و نگهداری ابزارآلات و قالبها","611203","expense","","0"
"l10n_ir_chart_611204","تعمیر ونگهداری وسایط نقلیه","611204","expense","","0"
"l10n_ir_chart_611205","تعمیر ونگهداری اثاثیه ومنصوبات","611205","expense","","0"
"l10n_ir_chart_611206","تعمیر و نگهداری لوازم آزمایشگاهی","611206","expense","","0"
"l10n_ir_chart_611207","هزینه سوخت کارخانه","611207","expense","","0"
"l10n_ir_chart_611208","هزینه سوخت وسائط نقلیه","611208","expense","","0"
"l10n_ir_chart_611209","هزینه آب و برق مصرفی","611209","expense","","0"
"l10n_ir_chart_611210","بیمه دارائیهای ثابت","611210","expense","","0"
"l10n_ir_chart_611211","بیمه موجودیها","611211","expense","","0"
"l10n_ir_chart_611212","هزینه لوازم مصرفی آزمایشگاهی","611212","expense","","0"
"l10n_ir_chart_611213","ابزار ولوازم فنی مصرفی","611213","expense","","0"
"l10n_ir_chart_611214","مواد مصرفی غیر مستقیم تولید","611214","expense","","0"
"l10n_ir_chart_611215","هزینه ملزومات ونوشت افزار","611215","expense","","0"
"l10n_ir_chart_611216","هزینه پست وتلفن","611216","expense","","0"
"l10n_ir_chart_611217","هزینه مواد مصرفی مستقیم تولید","611217","expense","","0"
"l10n_ir_chart_611218","هزینه ثبتی و محضری","611218","expense","","0"
"l10n_ir_chart_611219","هزینه اجاره محل","611219","expense","","0"
"l10n_ir_chart_611301","هزینه استهلاک ساختمان","611301","expense","","0"
"l10n_ir_chart_611302","هزینه استهلاک تاسیسات","611302","expense","","0"
"l10n_ir_chart_611303","هزینه استهلاک ماشین آلات وتجهیزات تولید","611303","expense","","0"
"l10n_ir_chart_611304","هزینه استهلاک ابزارآلات و قالبها","611304","expense","","0"
"l10n_ir_chart_611305","هزینه استهلاک وسائط نقلیه","611305","expense","","0"
"l10n_ir_chart_611306","هزینه استهلاک اثاثیه و منصوبات","611306","expense","","0"
"l10n_ir_chart_611307","هزینه استهلاک لوازم آزمایشگاهی","611307","expense","","0"
"l10n_ir_chart_611308","هزینه استهلاک اموال","611308","expense","","0"
"l10n_ir_chart_611309","هزینه استهلاک نرم افزارها","611309","expense","","0"
"l10n_ir_chart_621001","هزینه آگهی و تبلیغات","621001","expense","","0"
"l10n_ir_chart_621003","هزینه شرکت درمناقصه","621003","expense","","0"
"l10n_ir_chart_621004","هزینه ارسال نمونه ها","621004","expense","","0"
"l10n_ir_chart_621006","هزینه 3 درصد فروش (عوارض شهرداری و دارایی)","621006","expense","","0"
"l10n_ir_chart_621007","هزینه های نمایشگاه","621007","expense","","0"
"l10n_ir_chart_621008","هزینه بازاریابی و پورسانت","621008","expense","","0"
"l10n_ir_chart_621009","هزینه های حمل وانبارداری","621009","expense","","0"
"l10n_ir_chart_621010","هزینه های متفرقه توزیع وفروش","621010","expense","","0"
"l10n_ir_chart_621018","هزینه های واخواست","621018","expense","","0"
"l10n_ir_chart_621019","هزینه مطالبات سوخت شده","621019","expense","","0"
"l10n_ir_chart_621020","هزینه مطالبات مشکوک الوصول","621020","expense","","0"
"l10n_ir_chart_621101","هزینه سود وکارمزد وامها","621101","expense","","0"
"l10n_ir_chart_621102","هزینه تمبر وسفته","621102","expense","","0"
"l10n_ir_chart_621104","هزینه کارمزد خدمات بانکی","621104","expense","","0"
"l10n_ir_chart_621105","هزینه جریمه دیر کرد وامها","621105","expense","","0"
"l10n_ir_chart_621109","هزینه های متفرقه مالی","621109","expense","","0"
"l10n_ir_chart_621201","حصه جاری هزینه  های  تحقیق و توسعه","621201","expense","","0"
"l10n_ir_chart_621301","هزینه حق الزحمه حقوقی","621301","expense","","0"
"l10n_ir_chart_621302","هزینه حق الزحمه مشاورین","621302","expense","","0"
"l10n_ir_chart_621303","هزینه حق الزحمه حسابرسی","621303","expense","","0"
"l10n_ir_chart_621304","حق الزحمه خرید خدمات","621304","expense","","0"
"l10n_ir_chart_621305","کتب ونشریات","621305","expense","","0"
"l10n_ir_chart_621306","حق عضویت","621306","expense","","0"
"l10n_ir_chart_621307","پذیرائی و جشنها","621307","expense","","0"
